世界名,时间,玩家名,玩家ID,容器名,物品名,物品代码,数量
萌新天堂,2023-08-03 10:13,明月清风,KU_bljb6DuM,箱子,剃刀,razor,-1
萌新天堂,2023-08-03 10:32,机械师,KU_NKC-qta7,箱子,树果酱,treegrowthsolution,-4
萌新天堂,2023-08-03 10:32,机械师,KU_NKC-qta7,箱子,树果酱,treegrowthsolution,4
萌新天堂,2023-08-03 11:37,nf,KU_zpnid8Dp,菌伞灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-08-03 11:41,明月清风,KU_bljb6DuM,箱子,剃刀,razor,1
萌新天堂,2023-08-03 12:38,明月清风,KU_bljb6DuM,箱子,木板,boards,5
萌新天堂,2023-08-03 12:38,明月清风,KU_bljb6DuM,箱子,木板,boards,-5
萌新天堂,2023-08-03 12:38,明月清风,KU_bljb6DuM,箱子,木板,boards,4
萌新天堂,2023-08-03 12:43,机械师,KU_NKC-qta7,冰箱,小肉,smallmeat,1
萌新天堂,2023-08-03 12:57,明月清风,KU_bljb6DuM,箱子,木板,boards,9
萌新天堂,2023-08-03 13:03,明月清风,KU_bljb6DuM,箱子,木板,boards,-4
萌新天堂,2023-08-03 13:03,明月清风,KU_bljb6DuM,箱子,木板,boards,3
萌新天堂,2023-08-03 13:07,夏乏、,KU_upUQhYf1,箱子,树果酱,treegrowthsolution,-4
萌新天堂,2023-08-03 13:07,夏乏、,KU_upUQhYf1,箱子,树果酱,treegrowthsolution,3
萌新天堂,2023-08-03 13:13,明月清风,KU_bljb6DuM,蘑菇灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-08-03 13:13,明月清风,KU_bljb6DuM,蘑菇灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-08-03 13:13,明月清风,KU_bljb6DuM,蘑菇灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-08-03 13:13,明月清风,KU_bljb6DuM,蘑菇灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-08-03 13:13,明月清风,KU_bljb6DuM,蘑菇灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-08-03 13:13,明月清风,KU_bljb6DuM,蘑菇灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-08-03 13:16,明月清风,KU_bljb6DuM,箱子,木板,boards,-3
萌新天堂,2023-08-03 13:16,明月清风,KU_bljb6DuM,箱子,木板,boards,2
萌新天堂,2023-08-03 13:29,明月清风,KU_bljb6DuM,箱子,绳子,rope,1
萌新天堂,2023-08-03 13:29,明月清风,KU_bljb6DuM,箱子,采下的草,cutgrass,1
萌新天堂,2023-08-03 13:30,明月清风,KU_bljb6DuM,箱子,木板,boards,-6
萌新天堂,2023-08-03 13:30,明月清风,KU_bljb6DuM,箱子,木板,boards,5
萌新天堂,2023-08-03 13:40,夏乏、,KU_upUQhYf1,箱子,树果酱,treegrowthsolution,20
萌新天堂,2023-08-03 13:40,夏乏、,KU_upUQhYf1,箱子,树果酱,treegrowthsolution,20
萌新天堂,2023-08-03 13:40,夏乏、,KU_upUQhYf1,箱子,树果酱,treegrowthsolution,20
萌新天堂,2023-08-03 13:40,夏乏、,KU_upUQhYf1,箱子,树果酱,treegrowthsolution,20
萌新天堂,2023-08-03 13:40,夏乏、,KU_upUQhYf1,箱子,树果酱,treegrowthsolution,20
萌新天堂,2023-08-03 13:48,夏乏、,KU_upUQhYf1,箱子,船套装,boat_item,1
萌新天堂,2023-08-03 13:51,夏乏、,KU_upUQhYf1,箱子,树果酱,treegrowthsolution,1
萌新天堂,2023-08-03 14:03,明月清风,KU_bljb6DuM,箱子,木板,boards,-5
萌新天堂,2023-08-03 14:03,明月清风,KU_bljb6DuM,箱子,木板,boards,2
萌新天堂,2023-08-03 14:09,明月清风,KU_bljb6DuM,箱子,剃刀,razor,-1
萌新天堂,2023-08-03 14:11,明月清风,KU_bljb6DuM,箱子,剃刀,razor,1
萌新天堂,2023-08-03 14:50,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,-20
萌新天堂,2023-08-03 14:50,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,20
萌新天堂,2023-08-03 14:50,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,-1
萌新天堂,2023-08-03 14:50,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,1
萌新天堂,2023-08-03 14:50,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,-20
萌新天堂,2023-08-03 14:50,明月清风,KU_bljb6DuM,箱子,船套装,boat_item,-1
萌新天堂,2023-08-03 14:51,明月清风,KU_bljb6DuM,箱子,船套装,boat_item,1
萌新天堂,2023-08-03 14:51,明月清风,KU_bljb6DuM,箱子,船套装,boat_item,-1
萌新天堂,2023-08-03 14:51,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,9
萌新天堂,2023-08-03 14:51,明月清风,KU_bljb6DuM,箱子,船套装,boat_item,1
萌新天堂,2023-08-03 14:51,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,-10
萌新天堂,2023-08-03 14:51,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,9
萌新天堂,2023-08-03 14:51,明月清风,KU_bljb6DuM,箱子,树果酱,treegrowthsolution,-9
