时间,卖家,买家,物品,数量,金额
2023-07-07,童的翠梅,咩咩咩,重生护符,1,0.87999999523163
2023-07-07,zxx15579,咩咩咩,启迪之冠,1,49
2023-07-07,二似菜鸡,咩咩咩,辣伏特羊肉冻,2,2
2023-07-07,红浪漫VIP一位,八月伴,重生护符,1,1
2023-07-07,红浪漫VIP一位,咩咩咩,重生护符,1,1
2023-07-07,祎翟,守望屁股,懒人魔杖,1,8
2023-07-07,二似菜鸡,咩咩咩,锤子,1,1
2023-07-07,红浪漫VIP一位,八月伴,重生护符,1,1
2023-07-07,红浪漫VIP一位,咩咩咩,重生护符,1,1
2023-07-07,红浪漫VIP一位,守望屁股,重生护符,1,1
2023-07-07,栗子,zxx15579,唤星者魔杖,1,3
2023-07-07,洗碗工必忘我,咩咩咩,巨型石榴,1,3
2023-07-07,童的翠梅,咩咩咩,重生护符,1,0.87999999523163
2023-07-07,Super Fig,QuQ,风干肉,20,2
2023-07-07,Super Fig,浆果丛,风干肉,20,2
2023-07-07,咩咩咩,浆果丛,炖肉汤,6,1
2023-07-07,Super Fig,浆果丛,风干肉,20,2
2023-07-07,童的翠梅,咩咩咩,重生护符,1,0.87999999523163
2023-07-07,童的翠梅,浆果丛,重生护符,1,0.87999999523163
2023-07-07,Super Fig,浆果丛,风干肉,20,2
2023-07-07,幻滅,浆果丛,芦笋冷汤,1,2
2023-07-07,祎翟,Ns,黄金铲子,1,0.5
2023-07-07,红浪漫VIP一位,Ns,重生护符,1,1
2023-07-07,红浪漫VIP一位,Ns,重生护符,1,1
2023-07-07,红浪漫VIP一位,童的翠梅,重生护符,1,1
2023-07-07,栗子,星澜,冰魔杖,1,0
2023-07-07,咩咩咩,浆果丛,炖肉汤,6,1
2023-07-07,红浪漫VIP一位,二似菜鸡,重生护符,1,1
2023-07-07,沫小白,QuQ,重生护符,1,0.99000000953674
2023-07-07,沫小白,咩咩咩,重生护符,1,0.99000000953674
2023-07-07,頌恩,1497,食人花种子,1,10
2023-07-07,頌恩,1497,食人花种子,1,10
2023-07-07,頌恩,1497,食人花种子,1,10
2023-07-07,頌恩,1497,食人花种子,1,10
2023-07-07,頌恩,1497,食人花种子,1,10
